model_id,reference_class,input_file,output_file,distance_input,distance_output,delta_distance,envelope_correlation,artifact_score
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_quiet_clicking_seg001.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_quiet_clicking_seg001__birds_motherbird_b2048_r48000_z16.wav,624.9938104951276,585.2260330712312,-39.767777423896405,0.31182785318937695,24.047665607144637
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_quiet_clicking_seg002.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_quiet_clicking_seg002__birds_motherbird_b2048_r48000_z16.wav,649.9478513450066,623.412956242162,-26.534895102844644,0.26539450196948977,9.18940223026584
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_quiet_clicking_seg003.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_quiet_clicking_seg003__birds_motherbird_b2048_r48000_z16.wav,550.155681253274,525.3198729627503,-24.835808290523687,0.6420120569921424,30.71079637831771
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_quiet_clicking_seg004.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_quiet_clicking_seg004__birds_motherbird_b2048_r48000_z16.wav,655.5748557146139,614.3896878660869,-41.185167848527044,0.42956209931742106,12.190342462726644
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_quiet_clicking_seg005.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_quiet_clicking_seg005__birds_motherbird_b2048_r48000_z16.wav,660.0184254895748,601.2303839226196,-58.78804156695526,0.43919326216622645,32.90336825211754
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_quiet_seg000.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_quiet_seg000__birds_motherbird_b2048_r48000_z16.wav,668.591068382395,628.2484667695319,-40.342601612863064,0.22672258166194212,8.906962667309195
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_quiet_seg001.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_quiet_seg001__birds_motherbird_b2048_r48000_z16.wav,671.6110242639899,618.83002576981,-52.78099849417981,0.17914790803262892,9.050976741954365
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_quiet_seg002.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_quiet_seg002__birds_motherbird_b2048_r48000_z16.wav,658.8774458371154,614.05009792965,-44.82734790746542,0.31349317070570154,12.679794521541794
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_quiet_seg003.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_quiet_seg003__birds_motherbird_b2048_r48000_z16.wav,670.9522402456556,624.1668809669336,-46.78535927872201,0.332201993560313,7.943404326878261
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_quiet_seg004.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_quiet_seg004__birds_motherbird_b2048_r48000_z16.wav,611.6400908408874,579.071965936923,-32.56812490396442,0.5522791354101133,29.44205479675685
